date,mean temperature (degC)
2008-01-01,29.318181818181817
2008-01-02,22.245454545454546
2008-01-03,22.136363636363637
2008-01-04,24.69090909090909
2008-01-05,27.1
2008-01-06,24.154545454545453
2008-01-07,19.463636363636365
2008-01-08,19.981818181818184
2008-01-09,21.436363636363637
2008-01-10,27.5
2008-01-11,29.58181818181818
2008-01-12,20.954545454545453
2008-01-13,19.572727272727274
2008-01-14,18.336363636363636
2008-01-15,20.78181818181818
2008-01-16,20.61818181818182
2008-01-17,19.70909090909091
2008-01-18,20.727272727272727
2008-01-19,19.763636363636365
2008-01-20,20.11818181818182
2008-01-21,17.59090909090909
2008-01-22,18.672727272727272
2008-01-23,20.554545454545455
2008-01-24,21.454545454545453
2008-01-25,23.072727272727274
2008-01-26,24.55454545454546
2008-01-27,23.463636363636365
2008-01-28,20.64
2008-01-29,20.89
2008-01-30,22.71
2008-01-31,20.172727272727272
2008-02-01,19.136363636363637
2008-02-02,22.072727272727274
2008-02-03,22.599999999999998
2008-02-04,24.0
2008-02-05,22.272727272727273
2008-02-06,20.53
2008-02-07,17.68
2008-02-08,15.459999999999999
2008-02-09,16.28
2008-02-10,17.020000000000003
2008-02-11,18.56
2008-02-12,20.16363636363636
2008-02-13,17.045454545454547
2008-02-14,18.38181818181818
2008-02-15,19.518181818181816
2008-02-16,21.318181818181817
2008-02-17,22.018181818181816
2008-02-18,22.681818181818183
2008-02-19,24.845454545454547
2008-02-20,20.754545454545454
2008-02-21,19.481818181818184
2008-02-22,20.27
2008-02-23,17.080000000000002
2008-02-24,17.11818181818182
2008-02-25,16.945454545454545
2008-02-26,18.063636363636363
2008-02-27,17.89090909090909
2008-02-28,15.509090909090908
2008-02-29,14.52727272727273
2008-03-01,14.818181818181818
2008-03-02,17.78181818181818
2008-03-03,20.89090909090909
2008-03-04,20.336363636363636
2008-03-05,20.7
2008-03-06,21.8
2008-03-07,19.78181818181818
2008-03-08,20.854545454545455
2008-03-09,23.036363636363635
2008-03-10,26.018181818181816
2008-03-11,21.61818181818182
2008-03-12,21.7
2008-03-13,25.68
2008-03-14,28.53
2008-03-15,24.063636363636363
2008-03-16,27.745454545454546
2008-03-17,27.454545454545453
2008-03-18,26.00909090909091
2008-03-19,19.554545454545455
2008-03-20,19.145454545454545
2008-03-21,14.881818181818181
2008-03-22,16.436363636363637
2008-03-23,19.754545454545454
2008-03-24,21.836363636363636
2008-03-25,19.5
2008-03-26,15.436363636363637
2008-03-27,12.554545454545455
2008-03-28,12.736363636363636
2008-03-29,13.436363636363637
2008-03-30,13.719999999999999
2008-03-31,15.381818181818183
2008-04-01,16.20909090909091
2008-04-02,18.0
2008-04-03,12.354545454545455
2008-04-04,13.69090909090909
2008-04-05,15.29090909090909
2008-04-06,14.990909090909092
2008-04-07,15.872727272727273
2008-04-08,17.181818181818183
2008-04-09,17.954545454545453
2008-04-10,18.836363636363636
2008-04-11,20.345454545454547
2008-04-12,17.363636363636363
2008-04-13,14.036363636363637
2008-04-14,13.390909090909092
2008-04-15,14.727272727272727
2008-04-16,14.4
2008-04-17,14.736363636363636
2008-04-18,15.563636363636364
2008-04-19,15.918181818181818
2008-04-20,15.145454545454545
2008-04-21,14.254545454545456
2008-04-22,14.19090909090909
2008-04-23,14.345454545454546
2008-04-24,15.47272727272727
2008-04-25,16.645454545454545
2008-04-26,15.327272727272726
2008-04-27,10.709090909090909
2008-04-28,9.672727272727274
2008-04-29,10.145454545454546
2008-04-30,10.554545454545455
2008-05-01,12.627272727272727
2008-05-02,13.263636363636364
2008-05-03,12.154545454545454
2008-05-04,12.70909090909091
2008-05-05,13.909090909090908
2008-05-06,13.736363636363636
2008-05-07,13.545454545454545
2008-05-08,13.427272727272726
2008-05-09,13.509090909090908
2008-05-10,14.054545454545455
2008-05-11,13.354545454545455
2008-05-12,13.254545454545456
2008-05-13,12.918181818181818
2008-05-14,13.590909090909092
2008-05-15,13.681818181818182
2008-05-16,14.51
2008-05-17,11.509090909090908
2008-05-18,11.354545454545455
2008-05-19,11.890909090909092
2008-05-20,13.9
2008-05-21,12.190000000000001
2008-05-22,9.80909090909091
2008-05-23,9.727272727272727
2008-05-24,10.345454545454546
2008-05-25,11.60909090909091
2008-05-26,13.563636363636363
2008-05-27,13.381818181818181
2008-05-28,11.754545454545456
2008-05-29,11.418181818181818
2008-05-30,12.018181818181818
2008-05-31,11.663636363636364
2008-06-01,10.9
2008-06-02,11.281818181818181
2008-06-03,10.827272727272726
2008-06-04,12.636363636363637
2008-06-05,13.545454545454545
2008-06-06,12.381818181818181
2008-06-07,11.254545454545454
2008-06-08,11.427272727272728
2008-06-09,11.86
2008-06-10,13.854545454545455
2008-06-11,14.454545454545455
2008-06-12,13.518181818181818
2008-06-13,11.281818181818181
2008-06-14,9.61
2008-06-15,10.34
2008-06-16,9.78
2008-06-17,11.072727272727272
2008-06-18,12.0
2008-06-19,12.18
2008-06-20,11.43
2008-06-21,11.881818181818181
2008-06-22,11.909090909090908
2008-06-23,11.8
2008-06-24,11.427272727272728
2008-06-25,12.69090909090909
2008-06-26,12.009090909090908
2008-06-27,11.381818181818183
2008-06-28,11.672727272727274
2008-06-29,12.29090909090909
2008-06-30,12.618181818181819
2008-07-01,11.327272727272726
2008-07-02,11.572727272727272
2008-07-03,9.745454545454546
2008-07-04,9.818181818181818
2008-07-05,8.936363636363637
2008-07-06,10.990909090909092
2008-07-07,10.909090909090908
2008-07-08,8.39090909090909
2008-07-09,8.418181818181818
2008-07-10,8.827272727272726
2008-07-11,8.909090909090908
